User,Type,Screenshot,Order,Video,Channels,Verified ,Bias Rating,Factual,MBFC Credibility Rating
Cole,Control,Search,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Cole,Control,Search,2,Election Results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
Cole,Control,Search,3,LIVE: Latest News Headlines and Events | ABC News Live ,ABC News,,left-center,high,high
Cole,Control,Search,4,"John King: If Trump loses here, he's done",CNN,,left ,mixed,medium
Cole,Control,Search,5,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Cole,Control,R1,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Cole,Control,R1,2,president donald trump attempts to claim election victory as several states still count ballots,cnbc television,,left-center,mostly factual,
Cole,Control,R1,3,berkshire hathaway annual shareholders meeting 2021 featuring Warren Buffett and Charlie Munger,yahoo finance ,,left-center,high,high
Cole,Control,R1,4,"after serving 68 years in pennslyvania prison, Joe Ligon returns to modern world he barely knows",cbs this morning ,,left-center,high,high
Cole,Control,R1,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Cole,Control,R1,6,bombshell report claims teachers union pressured CDC; the five react,fox news ,,right,mixed,medium
Cole,Control,R2,1,trump v biden: the final debate,sky news,,least bias,high,high
Cole,Control,R2,2,live: nbc news now - May 5,nbc news ,,left-center,high,high
Cole,Control,R2,3,what's driving california's mass exodus?,cnbc,,left-center,mostly factual,
Cole,Control,R2,4,berkshire hathaway annual shareholders meeting 2021 featuring Warren Buffett and Charlie Munger,yahoo finance ,,left-center,high,high
Cole,Control,R2,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Cole,Control,R2,6,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Cole,Control,R3,1,watch in full: trump versus biden in the first us presidential election debate,sky news,,least bias,high,high
Cole,Control,R3,2,president obama remembers biggest disappointment As President | NBC News,nbc news ,,left-center,high,high
Cole,Control,R3,3,first 2020 presidential debate between donald trump and joe biden,c-span,,least bias,very high,high
Cole,Control,R3,4,IN FULL: Kamala Harris versus Mike Pence in the only Vice Presidential Debate,Sky News,,least bias,high,high 
Cole,Control,R3,5,watch live: the final presidential debate,cbs news,,left-center,high,high 
Cole,Control,R3,6,watch live: track the impact of global warming on the world,Sky News,,least bias,high,high 
Cole,Control,R4,1,second 2020 presidential debate between donald trump and joe biden,c-span,,least bias,very high,high
Cole,Control,R4,2,watch: trump's full 2019 state of the union address,pbs newshour,,left-center,high,high
Cole,Control,R4,3,in FULL: Kamala Harris versus Mike Pence in the only Vice Presidential Debate,Sky News,,least bias,high,high
Cole,Control,R4,4,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Cole,Control,R4,5,watch live: track the impact of global warming on the world,Sky News,,least bias,high,high 
Cole,Control,R4,6,watch live: latest covid-19 data from uk and around the world,Sky News,,least bias,high,high 
Cole,Control,R5,1,first 2020 presidential debate between donald trump and joe biden,c-span,,least bias,very high,high
Cole,Control,R5,2,mccain vs obama: the second 2008 presidential debate,pbs newshour,,left-center,high,high
